,Ridge,ElasticNet,KernelRidge,SVR-RBF,RandomForest,HistGB,XGBoost,MLP,Stacking,CrossAttn
1 demographics,0.0789173392541146,0.07667799944102571,0.08459796219194826,0.0610210794096363,0.0822856174735278,0.06345374843748286,0.043970130366888016,0.04897644999294293,0.07945806889390461,0.04903726407674969
2 +global,0.08366463739229146,0.0843130836388255,0.06874289316055204,0.0665145300102753,0.07214484297244617,0.05074988472071462,0.04093583174632154,0.038353379737063764,0.08187367289276559,0.05976021811431964
3 +subcortical,0.06975881962093633,0.07679183318093052,0.06277417024900167,0.017766924217370694,0.06951655967387427,0.04631600204286146,0.04278859849428318,-0.03958192559150375,0.06826542227977339,0.029515345887260458
4 +cortical (full struct),0.047587872074706605,0.05136904937577336,0.0349593889112908,0.007175693234845348,0.0651565538218637,0.041399546103849216,0.02184486989837675,-0.2107272188020366,0.052052545518116666,0.020918298211903497
5 theory structural,0.0699956167770539,0.07884854548795273,0.07027549208499184,0.04684973913590873,0.07499980050731292,0.05420749063997099,0.030575876003428593,-0.009340914157544011,0.07473600178387219,0.05015599851847774
6 demo+FC cortical,0.07417204043201453,0.07543200019449814,0.06563464036493716,0.03479630137827161,0.08061352856808557,0.06550207655373841,0.049669375576468555,-0.019647740223588173,0.08162882379009129,0.029579320742953885
7 demo+FC all,0.07481105178970171,0.0640907252540478,0.05485990116670314,0.012399332458946088,0.06856435041165543,0.042342001829277276,0.030959544652421567,-0.00846173661665861,0.0763479816750211,0.02592335099302623
8 lean multimodal,0.06560452804982575,0.0749068611468684,0.06620175022105779,0.027957534016811558,0.07410914144458469,0.056096090545126764,0.04821046410797414,-0.01978579959205473,0.07544047938916709,0.04067868435512534
9 rich multimodal,0.05127227202943496,0.0460207070941121,0.020120652408643358,0.030970515436606005,0.06646121735226551,0.04878495883125533,0.029088918936450048,-0.26914887290029177,0.05334162037868506,0.0031880492611530142
