,Ridge,ElasticNet,KernelRidge,SVR-RBF,RandomForest,HistGB,XGBoost,MLP,Stacking,CrossAttn
1 demographics,0.2809790204465892,0.2769273505242586,0.2917767615743947,0.2718957758868979,0.29040951831582656,0.2563751897567276,0.2544752038165484,0.2377474322433683,0.28228613026345056,0.2436517433142344
2 +global,0.2893369624133867,0.2903754199852075,0.2637085479812913,0.28025524878107216,0.27260920830761654,0.23127636436396456,0.2520219453182709,0.2485307664702561,0.28621113129455455,0.2562460129880507
3 +subcortical,0.26526819794278705,0.277424964785259,0.2555885832124075,0.23303548394619536,0.26403740257277364,0.22075325757083364,0.24882305627096216,0.20291545044996528,0.2614170284221104,0.2138474780854942
4 +cortical (full struct),0.21870894298160132,0.22676181346559682,0.20020230558331925,0.19192695152219505,0.2553633473007978,0.20828857607874396,0.21384241657757,0.1242698982261701,0.2282644389171819,0.18503646919326466
5 theory structural,0.2653178026712587,0.2808627504350869,0.26994226195133353,0.2673191676723265,0.2743134184057526,0.23775460371713458,0.23804548295808242,0.19736081774646602,0.27342790191991295,0.2437842156417894
6 demo+FC cortical,0.2724453720418841,0.27473449003177286,0.26830186484665675,0.24666049051753344,0.28415525058504,0.2569342656668586,0.26127678096108664,0.19884940928088768,0.28571025580878134,0.23455155514113823
7 demo+FC all,0.2735454322845895,0.25399901179257534,0.2405054155920526,0.22505500163440995,0.26247717318033914,0.21406684849082913,0.23815591769738703,0.2105897940423173,0.2764738229788717,0.21374763188829435
8 lean multimodal,0.257398131507688,0.27394134140674953,0.26197755390789457,0.25360825665794695,0.2724131242168847,0.23874891658240066,0.2573224119951255,0.19684422973636656,0.27483455828617825,0.22615703633079376
9 rich multimodal,0.2264401264504349,0.21474734181397925,0.17684860837196437,0.20977875973845694,0.25781064493936295,0.2222608977925302,0.2252696838599377,0.13516563125371958,0.2310326150406003,0.14699443700161333
